cap_gap,cap_width,finger_count,finger_length,bottom_to_bottom,bottom_to_ground,ground_to_ground,top_to_bottom,top_to_ground,top_to_top
2.1,4.9,1.0,25.9,12.78614,12.09846,58.45017,0.51663,14.95437,15.65491
2.1,10.9,8.0,45.9,94.96956,58.07364,124.18885,36.28408,29.22434,65.85844
4.1,6.9,2.0,35.9,21.94864,18.77498,66.60369,2.8802600000000003,15.65588,18.77838
2.1,6.9,6.0,45.9,55.18578,33.69106,88.75992,21.05076,20.98596,42.46632
4.1,8.9,6.0,45.9,60.57606,41.62987,101.33585,18.4001,24.77954,43.49158
2.1,12.9,7.0,15.9,71.00832,53.34168,115.58561,17.03145,26.2044,43.63963
4.1,4.9,10.0,15.9,45.77354,35.33579,88.82414,10.09068,20.01188,30.45764
2.1,8.9,2.0,35.9,25.40252,20.6069,69.08263,4.4951,16.16611,20.9302
2.1,4.9,9.0,15.9,42.06553,29.8259,81.28715,11.88987,18.14201,30.33844
4.1,6.9,6.0,15.9,38.13878,30.67125,82.12106,7.16345,18.02827,25.4846
4.1,10.9,8.0,15.9,68.95465,54.64401,116.58543,13.67966,25.88672,39.95016
4.1,4.9,9.0,45.9,56.95425,34.47371,94.32145,21.85252,26.57236,48.83611
2.1,12.9,3.0,35.9,39.12549,28.68879,85.93236,10.07851,23.18738,33.63532
2.1,4.9,10.0,45.9,70.66787,37.64119,93.85947,32.42395,22.56105,55.43625
2.1,8.9,6.0,15.9,46.91827,35.4894,88.2046,10.96816,18.71541,29.91505
4.1,4.9,5.0,15.9,25.87729,20.99162,69.3559,4.62835,16.23935,21.14739
2.1,14.9,5.0,35.9,68.52316,47.36695,112.79438,20.76705,29.51443,50.67125
4.1,12.9,3.0,25.9,35.56265,28.82329,84.13824,6.36762,21.79929,28.48645
4.1,10.9,4.0,45.9,49.16811,36.31944,93.57168,12.35438,22.8662,35.61103
4.1,4.9,1.0,35.9,12.73171,12.20549,60.13801,0.36241,16.47267,17.03366
2.1,6.9,2.0,25.9,20.8639,17.47581,63.91789,3.11073,14.33238,17.66004
2.1,4.9,5.0,45.9,36.83068,21.94381,75.10478,14.52057,20.67438,35.5041
2.1,14.9,1.0,15.9,18.50932,16.80842,64.86194,1.44354,16.50515,18.15599
2.1,10.9,4.0,15.9,39.4638,31.0403,82.50522,7.93254,17.66141,25.89781
2.1,14.9,9.0,25.9,110.06436,76.51531,150.9099,32.55387,36.23866,69.24473
4.1,8.9,2.0,25.9,22.95995,19.91865,67.2247,2.73292,15.49501,18.47237
2.1,10.9,3.0,35.9,34.91396,25.38392,79.55404,9.13548,21.76376,31.24216
4.1,6.9,9.0,45.9,70.17254,43.60852,108.61617,25.84203,30.21581,56.49901
2.1,6.9,10.0,25.9,68.90003,44.91553,101.85513,23.2984,22.52247,46.09882
4.1,10.9,7.0,45.9,75.47694,50.584740000000004,119.4901,24.401980000000002,33.11783,57.96044
4.1,4.9,6.0,15.9,30.58063,24.59514,73.23772,5.71426,16.19998,22.13613
2.1,8.9,9.0,45.9,89.044,50.70017,118.02962,37.69192,31.46136,69.35887
4.1,12.9,8.0,15.9,79.42021,63.07404,127.91226,15.59088,28.75828,44.8489
2.1,14.9,6.0,35.9,84.35009,58.25104,123.77985,25.58236,28.61859,54.69749
2.1,10.9,7.0,15.9,61.45314,45.94131,105.09427,14.97361,23.71136,39.01251
2.1,6.9,9.0,15.9,53.50447,38.67566,93.84849,14.52223,20.88388,35.70445
4.1,8.9,1.0,25.9,14.55366,13.73985,61.1518,0.6009800000000001,16.47644,17.2932
2.1,14.9,10.0,45.9,145.58591,90.44802,170.24922,54.47903,40.04983,95.18674
4.1,4.9,2.0,35.9,19.42169,16.77418,63.7077,2.38388,14.89725,17.5147
4.1,8.9,9.0,15.9,63.85358,49.76465,110.70467,13.42708,26.01256,39.74506
2.1,12.9,8.0,45.9,106.78788,66.64308,136.01487,39.49845,32.10738,72.24683
2.1,6.9,1.0,25.9,13.66484,12.80563,59.82901,0.6667500000000001,15.67129,16.51853
2.1,4.9,6.0,45.9,45.74491,27.2516,79.00961,18.10928,18.86175,37.21478
2.1,14.9,2.0,15.9,29.8775,25.26258,74.45224,4.26816,16.79391,21.24972
2.1,12.9,4.0,15.9,44.95454,35.48769,88.91652,9.05217,19.27887,28.62528
4.1,8.9,5.0,45.9,48.37288,33.24414,94.07994,14.7272,26.47913,41.72073
2.1,8.9,1.0,35.9,14.68703,13.64212,62.87424,0.8334300000000001,18.05242,19.1213
2.1,4.9,2.0,25.9,18.47389,15.60225,60.8675,2.59662,13.72633,16.55734
4.1,6.9,1.0,35.9,13.56738,12.90372,61.76082,0.47467000000000004,17.34339,18.01708
2.1,6.9,5.0,45.9,44.30287,26.93745,83.54272,16.9251,23.01211,40.27452
4.1,10.9,3.0,25.9,31.58189,25.59503,78.78835,5.61793,20.43285,26.33678
4.1,6.9,10.0,35.9,73.09078,49.03592,110.16976,23.36401,26.79159,50.61205
2.1,8.9,5.0,15.9,39.23057,29.90522,81.73843,8.91672,18.65634,27.93026
4.1,6.9,5.0,15.9,32.01392,25.89151,76.88439,5.80849,18.03617,24.07602
2.1,10.9,1.0,15.9,15.86873,14.61729,61.13342,1.02458,15.23633,16.50936
4.1,8.9,7.0,25.9,55.78525,41.23255,100.85203,13.98525,25.36885,39.70335
2.1,6.9,7.0,25.9,48.65684,32.45658,87.60772,15.68028,21.08821,37.08755
4.1,4.9,4.0,35.9,28.69059,21.70304,70.57263,6.59185,16.78204,23.64352
2.1,14.9,4.0,15.9,50.49347,39.82256,95.26539,10.11202,20.86009,31.23805
2.1,10.9,9.0,25.9,85.50509,57.87078,123.51994,26.76595,29.57015,56.77275
4.1,12.9,6.0,25.9,66.80285,51.37897,113.19697,14.83985,26.291150000000002,41.41409
2.1,10.9,5.0,35.9,54.48322,36.4059,95.76208,17.44924,25.15547,42.90502
4.1,10.9,1.0,45.9,15.69414,14.75825,67.59765,0.74404,20.74935,21.80433
4.1,4.9,8.0,25.9,43.43218,31.2956,84.1424,11.61323,19.67277,31.54716
4.1,10.9,10.0,25.9,92.42369,68.05048,136.59065,23.44498,31.84748,55.70562
2.1,12.9,6.0,35.9,75.83955,51.61468,113.79083,23.64975,26.27699,50.30783
4.1,10.9,5.0,25.9,48.17749,36.92293,95.30376,10.70406,24.10721,35.14021
2.1,8.9,3.0,15.9,26.46046,21.35882,69.79297,4.81231,16.38278,21.41046
2.1,4.9,8.0,35.9,51.87182,31.14699,83.45549,20.28146,19.29549,39.85137
2.1,10.9,10.0,35.9,106.57215,67.25531,135.1273,38.27829,31.09866,69.89445
4.1,6.9,3.0,15.9,22.17553,18.83528,66.35541,3.07264,15.72419,19.04266
2.1,12.9,2.0,15.9,27.12047,23.00972,71.48547,3.79838,15.82373,19.84318
4.1,8.9,3.0,45.9,31.202,23.4293,79.61384,7.49624,22.94208,30.73056
2.1,14.9,8.0,45.9,118.36966,75.11496,148.90255,42.61502,35.06382,78.19266
2.1,8.9,7.0,35.9,64.03842,40.45581,100.97198,23.08347,25.88827,49.3486
4.1,6.9,7.0,35.9,51.09989,34.86894,93.9668,15.65333,25.06271,41.00964
2.1,4.9,4.0,25.9,26.98623,19.84377,66.81403,6.82474,14.83177,21.90631
